NroFactura;FechaFactura;IdCliente;MontoSinImp;Impuestos;MontoFactura
80;2014-01-19;51;621.34;165.16;786.50
81;2014-01-19;90;439.72;116.88;556.60
82;2014-01-19;53;334.57;88.93;423.50
83;2014-01-20;68;382.36;101.64;484.00
84;2014-01-20;21;196.92;52.34;249.26
85;2014-01-20;23;205.52;54.63;260.15
86;2014-01-20;53;249.49;66.32;315.81
87;2014-01-20;41;540.09;143.56;683.65
88;2014-01-20;53;812.52;215.98;1028.50
89;2014-01-21;91;374.72;99.60;474.32
90;2014-01-21;66;297.29;79.02;376.31
91;2014-01-21;1;237.07;63.01;300.08
92;2014-01-22;79;305.89;81.31;387.20
93;2014-01-22;38;229.42;60.98;290.40
94;2014-01-22;94;361.34;96.04;457.38
95;2014-01-22;87;329.79;87.66;417.45
96;2014-01-23;103;799.14;212.42;1011.56
97;2014-01-23;72;317.36;84.36;401.72
98;2014-01-23;61;172.07;45.73;217.80
99;2014-01-23;106;576.41;153.22;729.63
100;2014-01-23;26;820.17;218.01;1038.18
101;2014-01-24;9;737.00;195.91;932.91
102;2014-01-24;6;208.39;55.39;263.78
103;2014-01-24;10;308.76;82.07;390.83
104;2014-01-25;67;217.95;57.93;275.88
105;2014-01-25;98;149.13;39.63;188.76
106;2014-01-25;79;598.40;159.06;757.46
107;2014-01-25;16;737.96;196.16;934.12
108;2014-01-25;28;234.20;62.25;296.45
109;2014-01-25;41;647.15;172.02;819.17
110;2014-01-26;52;486.56;129.33;615.89
111;2014-01-26;27;335.53;89.18;424.71
112;2014-01-27;53;550.60;146.36;696.96
113;2014-01-27;95;617.52;164.14;781.66
114;2014-01-27;99;265.75;70.63;336.38
115;2014-01-27;83;504.72;134.16;638.88
116;2014-01-27;88;357.51;95.03;452.54
117;2014-01-28;47;380.45;101.13;481.58
118;2014-01-28;27;262.88;69.87;332.75
119;2014-01-28;67;667.22;177.36;844.58
120;2014-01-28;85;132.88;35.31;168.19
121;2014-01-28;81;530.53;141.02;671.55
122;2014-01-28;49;479.87;127.55;607.42
123;2014-01-28;96;409.13;108.75;517.88
124;2014-01-29;26;233.24;62.00;295.24
125;2014-01-29;22;415.82;110.53;526.35
126;2014-01-29;67;700.68;186.25;886.93
127;2014-01-29;34;534.35;142.04;676.39
128;2014-01-29;1;597.44;158.81;756.25
129;2014-01-29;91;739.87;196.67;936.54
130;2014-01-29;20;702.59;186.76;889.35
131;2014-01-30;76;341.26;90.71;431.97
132;2014-01-30;96;341.26;90.71;431.97
133;2014-01-31;13;668.18;177.61;845.79
134;2014-01-31;6;608.91;161.86;770.77
135;2014-01-31;75;100.37;26.68;127.05
136;2014-01-31;26;547.74;145.59;693.33
137;2014-01-31;57;771.42;205.05;976.47
138;2014-01-31;23;809.65;215.22;1024.87
139;2014-01-31;95;648.11;172.27;820.38
140;2014-02-01;102;342.22;90.96;433.18
141;2014-02-01;17;183.54;48.78;232.32
142;2014-02-01;2;478.91;127.30;606.21
143;2014-02-01;100;853.62;226.91;1080.53
144;2014-02-02;18;799.14;212.42;1011.56
145;2014-02-02;55;321.19;85.37;406.56
146;2014-02-02;47;780.02;207.34;987.36
147;2014-02-03;89;740.83;196.92;937.75
148;2014-02-03;30;214.13;56.91;271.04
149;2014-02-03;8;831.64;221.06;1052.70
150;2014-02-03;45;145.30;38.62;183.92
151;2014-02-04;12;709.28;188.54;897.82
152;2014-02-04;46;454.06;120.69;574.75
153;2014-02-04;34;294.42;78.26;372.68
154;2014-02-04;84;96.55;25.66;122.21
155;2014-02-05;95;240.89;64.03;304.92
156;2014-02-05;92;686.34;182.44;868.78
157;2014-02-05;71;543.91;144.58;688.49
158;2014-02-06;63;541.04;143.82;684.86
159;2014-02-06;54;280.08;74.45;354.53
160;2014-02-06;12;262.88;69.87;332.75
161;2014-02-06;69;140.52;37.35;177.87
162;2014-02-06;44;615.60;163.64;779.24
163;2014-02-06;6;525.75;139.75;665.50
164;2014-02-07;44;544.87;144.83;689.70
165;2014-02-07;38;524.79;139.50;664.29
166;2014-02-08;84;390.97;103.92;494.89
167;2014-02-08;104;788.62;209.63;998.25
168;2014-02-08;34;559.21;148.64;707.85
169;2014-02-08;71;279.13;74.19;353.32
170;2014-02-08;40;262.88;69.87;332.75
171;2014-02-08;22;530.53;141.02;671.55
172;2014-02-09;61;706.42;187.77;894.19
173;2014-02-09;48;602.22;160.08;762.30
174;2014-02-09;55;688.25;182.95;871.20
175;2014-02-10;86;227.51;60.47;287.98
176;2014-02-10;104;322.14;85.63;407.77
177;2014-02-11;85;418.69;111.29;529.98
178;2014-02-11;50;175.89;46.75;222.64
179;2014-02-11;42;439.72;116.88;556.60
180;2014-02-12;65;473.18;125.77;598.95
181;2014-02-12;46;111.85;29.72;141.57
182;2014-02-12;102;529.57;140.77;670.34
183;2014-02-13;41;337.44;89.69;427.13
184;2014-02-13;35;661.49;175.83;837.32
185;2014-02-13;26;520.97;138.48;659.45
186;2014-02-13;63;399.57;106.21;505.78
187;2014-02-14;93;396.70;105.45;502.15
188;2014-02-14;9;314.50;83.59;398.09
189;2014-02-14;76;789.58;209.88;999.46
190;2014-02-14;56;141.48;37.60;179.08
191;2014-02-14;47;216.99;57.68;274.67
192;2014-02-14;10;519.06;137.97;657.03
193;2014-02-14;63;446.41;118.66;565.07
194;2014-02-15;18;471.26;125.27;596.53
195;2014-02-15;86;496.12;131.87;627.99
196;2014-02-15;57;748.47;198.96;947.43
197;2014-02-15;39;729.36;193.87;923.23
198;2014-02-16;66;527.66;140.26;667.92
199;2014-02-16;51;197.88;52.59;250.47
200;2014-02-16;29;766.64;203.78;970.42
201;2014-02-16;36;461.70;122.73;584.43
202;2014-02-16;25;423.47;112.56;536.03
203;2014-02-16;40;851.71;226.40;1078.11
204;2014-02-16;65;173.98;46.24;220.22
205;2014-02-16;101;467.44;124.25;591.69
206;2014-02-16;96;795.31;211.41;1006.72
207;2014-02-16;43;395.75;105.19;500.94
208;2014-02-17;27;400.53;106.46;506.99
209;2014-02-17;53;156.77;41.67;198.44
210;2014-02-17;106;105.15;27.95;133.10
211;2014-02-17;69;569.72;151.44;721.16
212;2014-02-18;50;580.24;154.23;734.47
213;2014-02-18;23;847.89;225.38;1073.27
214;2014-02-18;70;455.97;121.20;577.17
215;2014-02-18;76;725.53;192.86;918.39
216;2014-02-18;38;313.54;83.34;396.88
217;2014-02-19;107;246.63;65.55;312.18
218;2014-02-19;2;663.40;176.34;839.74
219;2014-02-19;87;661.49;175.83;837.32
220;2014-02-19;6;758.03;201.50;959.53
221;2014-02-19;41;314.50;83.59;398.09
222;2014-02-19;107;241.85;64.28;306.13
223;2014-02-19;66;117.58;31.25;148.83
224;2014-02-20;48;567.81;150.93;718.74
225;2014-02-20;29;496.12;131.87;627.99
226;2014-02-20;95;288.69;76.73;365.42
227;2014-02-21;80;554.43;147.37;701.80
228;2014-02-21;54;135.74;36.08;171.82
229;2014-02-21;91;592.66;157.54;750.20
230;2014-02-22;41;519.06;137.97;657.03
231;2014-02-22;80;250.45;66.57;317.02
232;2014-02-22;73;734.14;195.14;929.28
233;2014-02-22;54;581.19;154.49;735.68
234;2014-02-22;2;386.19;102.65;488.84
235;2014-02-23;101;439.72;116.88;556.60
236;2014-02-23;82;845.98;224.87;1070.85
237;2014-02-23;43;707.37;188.03;895.40
238;2014-02-23;47;332.66;88.42;421.08
239;2014-02-23;72;822.08;218.52;1040.60
240;2014-02-24;28;540.09;143.56;683.65
241;2014-02-24;79;307.80;81.82;389.62
242;2014-02-24;15;774.28;205.82;980.10
243;2014-02-24;27;859.36;228.43;1087.79
244;2014-02-24;31;280.08;74.45;354.53
245;2014-02-25;70;131.92;35.06;166.98
246;2014-02-25;97;111.85;29.72;141.57
247;2014-02-25;81;120.45;32.01;152.46
248;2014-02-25;14;218.91;58.18;277.09
249;2014-02-25;16;781.93;207.85;989.78
250;2014-02-26;5;850.76;226.14;1076.90
251;2014-02-26;79;346.04;91.98;438.02
252;2014-02-26;84;544.87;144.83;689.70
253;2014-02-27;48;269.57;71.65;341.22
254;2014-02-27;84;186.41;49.54;235.95
255;2014-02-28;86;817.30;217.25;1034.55
256;2014-02-28;27;281.04;74.70;355.74
257;2014-02-28;103;519.06;137.97;657.03
258;2014-03-01;67;365.16;97.06;462.22
259;2014-03-01;52;637.59;169.48;807.07
260;2014-03-01;94;526.71;140.00;666.71
261;2014-03-01;54;531.49;141.27;672.76
262;2014-03-02;90;201.70;53.61;255.31
263;2014-03-02;87;418.69;111.29;529.98
264;2014-03-02;74;823.99;219.03;1043.02
265;2014-03-03;82;186.41;49.54;235.95
266;2014-03-03;19;109.93;29.22;139.15
267;2014-03-03;60;210.30;55.90;266.20
268;2014-03-04;103;672.96;178.88;851.84
269;2014-03-04;54;222.73;59.20;281.93
270;2014-03-04;80;109.93;29.22;139.15
271;2014-03-05;72;419.65;111.54;531.19
272;2014-03-05;48;477.95;127.05;605.00
273;2014-03-05;102;389.06;103.41;492.47
274;2014-03-05;31;151.04;40.14;191.18
275;2014-03-05;41;511.41;135.94;647.35
276;2014-03-06;36;657.66;174.82;832.48
277;2014-03-06;97;112.80;29.98;142.78
278;2014-03-06;107;261.92;69.62;331.54
279;2014-03-06;28;239.94;63.77;303.71
280;2014-03-06;32;709.28;188.54;897.82
281;2014-03-06;48;758.99;201.75;960.74
282;2014-03-07;107;843.11;224.11;1067.22
283;2014-03-07;87;236.11;62.76;298.87
284;2014-03-07;18;223.69;59.45;283.14
285;2014-03-07;94;655.75;174.31;830.06
286;2014-03-07;9;462.66;122.98;585.64
287;2014-03-08;9;207.44;55.13;262.57
288;2014-03-08;92;104.20;27.69;131.89
289;2014-03-08;88;291.55;77.50;369.05
290;2014-03-08;50;560.16;148.90;709.06
291;2014-03-08;47;527.66;140.26;667.92
292;2014-03-08;47;387.14;102.91;490.05
293;2014-03-08;13;811.56;215.73;1027.29
294;2014-03-08;80;633.77;168.46;802.23
295;2014-03-08;37;823.03;218.78;1041.81
296;2014-03-09;75;453.10;120.44;573.54
297;2014-03-09;18;787.67;209.37;997.04
298;2014-03-09;49;501.85;133.40;635.25
299;2014-03-09;75;550.60;146.36;696.96
300;2014-03-09;85;591.71;157.28;748.99
301;2014-03-09;103;151.04;40.14;191.18
302;2014-03-09;39;121.40;32.27;153.67
303;2014-03-10;86;225.60;59.96;285.56
304;2014-03-10;58;474.13;126.03;600.16
305;2014-03-10;86;481.78;128.06;609.84
306;2014-03-10;76;396.70;105.45;502.15
307;2014-03-10;92;774.28;205.82;980.10
308;2014-03-11;39;492.29;130.86;623.15
309;2014-03-11;105;191.18;50.82;242.00
310;2014-03-11;78;457.88;121.71;579.59
311;2014-03-11;100;357.51;95.03;452.54
312;2014-03-11;89;290.60;77.24;367.84
313;2014-03-12;13;758.03;201.50;959.53
314;2014-03-12;77;791.49;210.39;1001.88
315;2014-03-12;5;447.37;118.91;566.28
316;2014-03-12;28;573.54;152.46;726.00
317;2014-03-12;89;493.25;131.11;624.36
318;2014-03-13;46;366.11;97.32;463.43
319;2014-03-13;25;652.88;173.55;826.43
320;2014-03-13;56;476.04;126.54;602.58
321;2014-03-13;83;518.10;137.72;655.82
322;2014-03-13;12;455.97;121.20;577.17
323;2014-03-13;95;463.62;123.23;586.85
324;2014-03-14;50;604.13;160.59;764.72
325;2014-03-14;46;144.35;38.36;182.71
326;2014-03-15;101;724.58;192.60;917.18
327;2014-03-15;49;205.52;54.63;260.15
328;2014-03-15;47;295.38;78.51;373.89
329;2014-03-15;86;838.33;222.84;1061.17
330;2014-03-15;79;289.64;76.99;366.63
331;2014-03-16;8;153.90;40.91;194.81
332;2014-03-16;6;436.85;116.12;552.97
333;2014-03-16;45;675.83;179.64;855.47
334;2014-03-16;82;706.42;187.77;894.19
335;2014-03-16;86;136.70;36.33;173.03
336;2014-03-16;30;554.43;147.37;701.80
337;2014-03-17;96;411.04;109.26;520.30
338;2014-03-17;33;645.24;171.51;816.75
339;2014-03-17;53;194.05;51.58;245.63
340;2014-03-18;94;819.21;217.76;1036.97
341;2014-03-18;67;199.79;53.10;252.89
342;2014-03-20;24;505.68;134.41;640.09
343;2014-03-20;95;596.49;158.55;755.04
344;2014-03-20;91;668.18;177.61;845.79
345;2014-03-20;95;762.81;202.77;965.58
346;2014-03-20;37;188.32;50.05;238.37
347;2014-03-20;26;169.20;44.97;214.17
348;2014-03-20;98;316.41;84.10;400.51
349;2014-03-20;15;776.20;206.32;982.52
350;2014-03-20;37;293.47;78.00;371.47
351;2014-03-21;69;205.52;54.63;260.15
352;2014-03-21;61;416.78;110.78;527.56
353;2014-03-21;33;779.06;207.09;986.15
354;2014-03-21;97;768.55;204.29;972.84
355;2014-03-21;35;758.03;201.50;959.53
356;2014-03-22;1;159.64;42.43;202.07
357;2014-03-22;31;123.32;32.77;156.09
358;2014-03-23;61;216.04;57.42;273.46
359;2014-03-24;96;317.36;84.36;401.72
360;2014-03-24;33;677.74;180.15;857.89
361;2014-03-24;37;765.68;203.53;969.21
362;2014-03-24;90;433.98;115.36;549.34
363;2014-03-25;62;622.30;165.41;787.71
364;2014-03-25;65;257.14;68.35;325.49
365;2014-03-25;40;857.45;227.92;1085.37
366;2014-03-25;94;243.76;64.79;308.55
367;2014-03-25;50;474.13;126.03;600.16
368;2014-03-25;41;818.26;217.50;1035.76
369;2014-03-26;9;761.86;202.51;964.37
370;2014-03-26;96;829.73;220.55;1050.28
371;2014-03-26;73;594.57;158.05;752.62
372;2014-03-26;104;853.62;226.91;1080.53
373;2014-03-27;103;216.04;57.42;273.46
374;2014-03-27;16;734.14;195.14;929.28
375;2014-03-27;66;146.26;38.87;185.13
376;2014-03-27;105;299.20;79.53;378.73
377;2014-03-28;70;266.70;70.89;337.59
378;2014-03-29;32;496.12;131.87;627.99
379;2014-03-29;54;527.66;140.26;667.92
380;2014-03-29;60;316.41;84.10;400.51
381;2014-03-30;93;289.64;76.99;366.63
382;2014-03-30;17;231.33;61.49;292.82
383;2014-03-30;53;579.28;153.98;733.26
384;2014-03-30;76;194.05;51.58;245.63
385;2014-03-30;51;660.53;175.58;836.11
386;2014-03-30;11;326.92;86.90;413.82
387;2014-03-30;32;564.94;150.17;715.11
388;2014-03-30;11;715.02;190.06;905.08
389;2014-03-30;36;122.36;32.52;154.88
390;2014-03-30;18;321.19;85.37;406.56
391;2014-03-30;101;224.64;59.71;284.35
392;2014-03-31;39;347.95;92.49;440.44
393;2014-03-31;59;234.20;62.25;296.45
394;2014-03-31;16;844.06;224.37;1068.43
395;2014-04-01;55;771.42;205.05;976.47
396;2014-04-02;82;585.97;155.76;741.73
397;2014-04-02;86;463.62;123.23;586.85
398;2014-04-02;69;246.63;65.55;312.18
399;2014-04-02;3;411.04;109.26;520.30
400;2014-04-03;36;420.60;111.80;532.40
401;2014-04-03;97;544.87;144.83;689.70
402;2014-04-03;26;802.96;213.44;1016.40
403;2014-04-03;15;366.11;97.32;463.43
404;2014-04-03;9;338.39;89.95;428.34
405;2014-04-03;2;576.41;153.22;729.63
406;2014-04-03;38;492.29;130.86;623.15
407;2014-04-04;49;436.85;116.12;552.97
408;2014-04-04;82;443.54;117.90;561.44
409;2014-04-04;14;800.09;212.68;1012.77
410;2014-04-04;18;145.30;38.62;183.92
411;2014-04-04;54;508.54;135.18;643.72
412;2014-04-04;11;711.19;189.05;900.24
413;2014-04-05;42;428.25;113.83;542.08
414;2014-04-05;64;261.92;69.62;331.54
415;2014-04-05;52;537.22;142.80;680.02
416;2014-04-05;106;659.58;175.32;834.90
417;2014-04-05;54;677.74;180.15;857.89
418;2014-04-05;7;213.17;56.66;269.83
419;2014-04-05;106;739.87;196.67;936.54
420;2014-04-05;35;513.32;136.45;649.77
421;2014-04-05;56;253.32;67.33;320.65
422;2014-04-06;3;246.63;65.55;312.18
423;2014-04-06;106;132.88;35.31;168.19
424;2014-04-06;76;811.56;215.73;1027.29
425;2014-04-06;50;607.00;161.35;768.35
426;2014-04-06;99;823.99;219.03;1043.02
427;2014-04-07;94;579.28;153.98;733.26
428;2014-04-07;106;103.24;27.44;130.68
429;2014-04-07;71;762.81;202.77;965.58
430;2014-04-07;1;391.92;104.18;496.10
431;2014-04-07;30;650.02;172.78;822.80
432;2014-04-08;6;581.19;154.49;735.68
433;2014-04-08;80;348.91;92.74;441.65
434;2014-04-08;56;803.92;213.69;1017.61
435;2014-04-08;10;185.45;49.29;234.74
436;2014-04-09;104;742.74;197.43;940.17
437;2014-04-09;1;552.52;146.86;699.38
438;2014-04-09;19;622.30;165.41;787.71
439;2014-04-09;89;184.49;49.04;233.53
440;2014-04-09;77;747.52;198.70;946.22
441;2014-04-10;65;508.54;135.18;643.72
442;2014-04-10;52;150.08;39.89;189.97
443;2014-04-10;100;502.81;133.65;636.46
444;2014-04-10;29;686.34;182.44;868.78
445;2014-04-11;9;151.04;40.14;191.18
446;2014-04-12;96;790.53;210.14;1000.67
447;2014-04-12;92;285.82;75.97;361.79
448;2014-04-12;76;797.23;211.91;1009.14
449;2014-04-12;2;173.98;46.24;220.22
450;2014-04-13;106;486.56;129.33;615.89
451;2014-04-13;32;742.74;197.43;940.17
452;2014-04-13;25;535.31;142.29;677.60
453;2014-04-13;5;150.08;39.89;189.97
454;2014-04-13;45;336.48;89.44;425.92
455;2014-04-13;65;636.63;169.23;805.86
456;2014-04-13;82;142.43;37.86;180.29
457;2014-04-13;30;566.85;150.68;717.53
458;2014-04-14;29;445.45;118.41;563.86
459;2014-04-14;71;132.88;35.31;168.19
460;2014-04-14;53;98.46;26.17;124.63
461;2014-04-15;27;199.79;53.10;252.89
462;2014-04-15;3;406.26;107.99;514.25
463;2014-04-15;9;531.49;141.27;672.76
464;2014-04-15;99;126.18;33.54;159.72
465;2014-04-15;92;383.32;101.89;485.21
466;2014-04-16;20;698.77;185.74;884.51
467;2014-04-16;100;312.58;83.09;395.67
468;2014-04-16;31;100.37;26.68;127.05
469;2014-04-16;104;678.69;180.41;859.10
470;2014-04-16;6;296.33;78.77;375.10
471;2014-04-16;44;847.89;225.38;1073.27
472;2014-04-16;30;754.21;200.48;954.69
473;2014-04-17;43;189.27;50.31;239.58
474;2014-04-17;29;120.45;32.01;152.46
475;2014-04-17;82;171.11;45.48;216.59
476;2014-04-17;66;720.75;191.59;912.34
477;2014-04-17;86;736.05;195.65;931.70
478;2014-04-17;40;519.06;137.97;657.03
479;2014-04-18;90;463.62;123.23;586.85
480;2014-04-18;25;548.69;145.85;694.54
481;2014-04-18;59;711.19;189.05;900.24
482;2014-04-18;28;166.33;44.21;210.54
483;2014-04-19;81;223.69;59.45;283.14
484;2014-04-19;12;798.18;212.17;1010.35
485;2014-04-19;47;559.21;148.64;707.85
486;2014-04-19;100;606.05;161.09;767.14
487;2014-04-19;40;410.09;109.00;519.09
488;2014-04-19;86;695.90;184.98;880.88
489;2014-04-19;63;772.37;205.31;977.68
490;2014-04-20;62;138.61;36.84;175.45
491;2014-04-20;57;563.03;149.66;712.69
492;2014-04-20;77;314.50;83.59;398.09
493;2014-04-20;78;755.17;200.73;955.90
494;2014-04-21;78;160.60;42.68;203.28
495;2014-04-21;51;566.85;150.68;717.53
496;2014-04-21;21;545.82;145.09;690.91
497;2014-04-21;51;521.93;138.73;660.66
498;2014-04-21;45;679.65;180.66;860.31
499;2014-04-21;101;465.53;123.74;589.27
500;2014-04-21;54;755.17;200.73;955.90
501;2014-04-22;39;343.17;91.22;434.39
502;2014-04-22;90;788.62;209.63;998.25
503;2014-04-22;60;563.03;149.66;712.69
504;2014-04-22;107;691.12;183.71;874.83
505;2014-04-23;69;634.72;168.72;803.44
506;2014-04-23;85;681.56;181.17;862.73
507;2014-04-23;63;791.49;210.39;1001.88
508;2014-04-23;89;290.60;77.24;367.84
509;2014-04-23;64;782.89;208.10;990.99
510;2014-04-23;74;214.13;56.91;271.04
511;2014-04-24;53;330.75;87.91;418.66
512;2014-04-24;20;276.26;73.43;349.69
513;2014-04-24;95;687.30;182.69;869.99
514;2014-04-24;45;411.04;109.26;520.30
515;2014-04-25;104;725.53;192.86;918.39
516;2014-04-25;70;809.65;215.22;1024.87
517;2014-04-25;74;817.30;217.25;1034.55
518;2014-04-25;10;711.19;189.05;900.24
519;2014-04-25;34;422.51;112.31;534.82
520;2014-04-25;44;858.40;228.18;1086.58
521;2014-04-25;82;693.99;184.47;878.46
522;2014-04-26;63;151.04;40.14;191.18
523;2014-04-26;62;254.27;67.59;321.86
524;2014-04-26;35;588.84;156.52;745.36
525;2014-04-26;96;406.26;107.99;514.25
526;2014-04-27;39;252.36;67.08;319.44
527;2014-04-27;52;771.42;205.05;976.47
528;2014-04-27;44;782.89;208.10;990.99
529;2014-04-27;49;737.00;195.91;932.91
530;2014-04-27;6;638.55;169.73;808.28
531;2014-04-28;40;407.22;108.24;515.46
532;2014-04-28;71;628.03;166.94;794.97
533;2014-04-28;74;420.60;111.80;532.40
534;2014-04-28;90;516.19;137.21;653.40
535;2014-04-28;17;785.75;208.87;994.62
536;2014-04-28;106;583.10;155.00;738.10
537;2014-04-28;29;255.23;67.84;323.07
538;2014-04-28;41;358.47;95.28;453.75
539;2014-04-29;34;785.75;208.87;994.62
540;2014-04-29;5;163.46;43.45;206.91
541;2014-04-30;84;230.38;61.23;291.61
542;2014-04-30;30;554.43;147.37;701.80
543;2014-04-30;50;567.81;150.93;718.74
544;2014-05-01;98;288.69;76.73;365.42
545;2014-05-01;54;183.54;48.78;232.32
546;2014-05-01;31;463.62;123.23;586.85
547;2014-05-01;67;385.23;102.40;487.63
548;2014-05-01;42;593.62;157.79;751.41
549;2014-05-01;99;505.68;134.41;640.09
550;2014-05-02;99;532.44;141.53;673.97
551;2014-05-02;66;493.25;131.11;624.36
552;2014-05-02;48;498.98;132.64;631.62
553;2014-05-02;98;663.40;176.34;839.74
554;2014-05-02;96;190.23;50.56;240.79
555;2014-05-02;88;347.00;92.23;439.23
556;2014-05-03;74;508.54;135.18;643.72
557;2014-05-03;89;841.20;223.60;1064.80
558;2014-05-03;60;625.16;166.18;791.34
559;2014-05-03;18;275.30;73.18;348.48
560;2014-05-03;102;611.78;162.62;774.40
561;2014-05-03;36;312.58;83.09;395.67
562;2014-05-03;81;368.03;97.82;465.85
563;2014-05-04;96;386.19;102.65;488.84
564;2014-05-04;69;797.23;211.91;1009.14
565;2014-05-05;7;804.87;213.95;1018.82
566;2014-05-05;38;108.98;28.96;137.94
567;2014-05-05;40;327.88;87.15;415.03
568;2014-05-06;57;310.67;82.58;393.25
569;2014-05-06;97;426.34;113.32;539.66
570;2014-05-08;75;609.87;162.11;771.98
571;2014-05-08;56;152.95;40.65;193.60
572;2014-05-08;100;444.50;118.15;562.65
573;2014-05-09;52;804.87;213.95;1018.82
574;2014-05-09;16;538.18;143.05;681.23
575;2014-05-09;38;697.81;185.49;883.30
576;2014-05-09;10;442.59;117.64;560.23
577;2014-05-09;84;170.16;45.22;215.38
578;2014-05-09;17;109.93;29.22;139.15
579;2014-05-09;38;99.42;26.42;125.84
580;2014-05-09;34;325.01;86.39;411.40
581;2014-05-09;47;377.59;100.36;477.95
582;2014-05-09;3;774.28;205.82;980.10
583;2014-05-10;13;121.40;32.27;153.67
584;2014-05-10;70;130.96;34.81;165.77
585;2014-05-10;107;139.57;37.09;176.66
586;2014-05-10;8;216.99;57.68;274.67
587;2014-05-10;14;525.75;139.75;665.50
588;2014-05-10;1;347.00;92.23;439.23
589;2014-05-10;64;328.83;87.41;416.24
590;2014-05-11;12;131.92;35.06;166.98
591;2014-05-11;94;176.85;47.00;223.85
592;2014-05-11;60;667.22;177.36;844.58
593;2014-05-12;64;511.41;135.94;647.35
594;2014-05-12;107;811.56;215.73;1027.29
595;2014-05-12;30;182.58;48.53;231.11
596;2014-05-12;30;96.55;25.66;122.21
597;2014-05-13;34;558.25;148.39;706.64
598;2014-05-13;32;447.37;118.91;566.28
599;2014-05-13;24;254.27;67.59;321.86
600;2014-05-13;37;788.62;209.63;998.25
601;2014-05-14;83;803.92;213.69;1017.61
602;2014-05-14;86;435.90;115.86;551.76
603;2014-05-14;14;154.86;41.16;196.02
